casename,A_true,n_true,a_true,alpha,beta,A_est,n_est,a_est,alpha_est,beta_est
case98,800.0,1.1,50.0,0.6,-0.6,796.1586578207716,1.1026656109498882,49.51183236761257,0.6283245644583965,-0.6228108773387615
case99,800.0,1.1,50.0,0.6,-0.5,795.3231113576688,1.1027942591172106,49.4314307397415,0.6085622341433763,-0.5032127417066251
case100,800.0,1.1,50.0,0.6,-0.4,794.5209052897769,1.1027442511302175,49.36310581415082,0.6074991602929289,-0.40220324173995187
case101,800.0,1.1,50.0,0.6,-0.3,793.7424322975103,1.1025802075804862,49.30186154607796,0.606999040066431,-0.30171366585727055
case102,800.0,1.1,50.0,0.6,-0.2,792.9700407551097,1.1023811812281084,49.242146101400905,0.6067220313160644,-0.20143739380960296
case103,800.0,1.1,50.0,0.6,-0.1,792.1592044401099,1.1022780452065069,49.17151733556929,0.6065668575142487,-0.10129752893572226
case104,800.0,1.1,50.0,0.6,-0.0,791.3437883162829,1.1022625954904657,49.095760334259026,0.606507655019565,-0.001273289311213892
case105,800.0,1.1,50.0,0.6,0.1,792.086544187539,1.1013120901049371,49.23032781719339,0.6618992933511239,-3.1269159656269085e-37
case106,800.0,1.1,50.0,0.6,0.2,789.6425356097895,1.102661679683511,48.91406731302545,0.6067233974312342,0.19823264439070767
case107,800.0,1.1,50.0,0.6,0.3,788.7318292503599,1.1030526782091976,48.807095989314796,0.6069816720047759,0.29766696869097514
case108,800.0,1.1,50.0,0.6,0.4,787.8418352435378,1.1034470192332564,48.703358017305675,0.6073296359332089,0.3968999342928086
case109,800.0,1.1,50.0,0.6,0.5,786.8700776547197,1.103815900467968,48.59053743245696,0.607716285267719,0.49596869059451554
case110,800.0,1.1,50.0,0.6,0.6,785.991865963596,1.1039026216027028,48.50472601893489,0.6080390060223546,0.5951144938361553
case111,800.0,1.1,50.0,0.6,0.7,785.1991610285327,1.1036328186997864,48.44756336564596,0.6081644813418102,0.6946738150531512
case112,800.0,1.1,50.0,0.6,0.8,784.4344483970611,1.1030084412955117,48.412434930457415,0.6079386031868714,0.7950553532500247
case113,800.0,1.1,50.0,0.6,0.9,783.4443106566712,1.1026043241050472,48.3418012515006,0.6073416887757157,0.8964905891144234
case114,800.0,1.1,50.0,0.7,-0.9,798.6904561477693,1.1007494348906213,49.83904647232615,0.7087264555368149,-0.9026552782875592
case115,800.0,1.1,50.0,0.7,-0.8,797.358711304172,1.1020713614517856,49.64779718708072,0.7121702145401249,-0.8062287486582738
case116,800.0,1.1,50.0,0.7,-0.7,796.1680986796367,1.1026535366100172,49.513168340802956,0.631162315901869,-0.6256526171458041
case117,800.0,1.1,50.0,0.7,-0.6,795.0638927791108,1.1028182762005283,49.40855944117957,0.7006241353858786,-0.5950099606891678
case118,800.0,1.1,50.0,0.7,-0.5,794.0133046368127,1.1027102643334514,49.32315172119416,0.703018671259966,-0.497465574642484
case119,800.0,1.1,50.0,0.7,-0.4,793.0019970062285,1.1024093215072635,49.25102746481604,0.7038381211944593,-0.39834037641242814
case120,800.0,1.1,50.0,0.7,-0.3,791.9777086338507,1.1020741177226978,49.17686457010629,0.7042364507500963,-0.2987890372638157
case121,800.0,1.1,50.0,0.7,-0.2,790.9642984413299,1.1017585469554867,49.101658373503724,0.704470724127428,-0.19906271743946635
case122,800.0,1.1,50.0,0.7,-0.1,789.9624749249214,1.1016071938543064,48.99073969202587,0.6471762580220574,2.0430109740726616e-36
case123,800.0,1.1,50.0,0.7,-0.0,788.8686003806878,1.101628174386605,48.913735114994424,0.7050417545194605,7.886334630470208e-06
case124,800.0,1.1,50.0,0.7,0.1,787.7436627304778,1.1019074171682057,48.791656303857955,0.7049869131519396,0.10013338773123596
case125,800.0,1.1,50.0,0.7,0.2,786.5038021533353,1.102420770215611,48.643444769118524,0.7052057034083622,0.19965095673898545
case126,800.0,1.1,50.0,0.7,0.3,785.2417270873849,1.1030529985378112,48.48770181806739,0.7054880863401132,0.2989589585331508
case127,800.0,1.1,50.0,0.7,0.4,786.8322582903327,1.1024757331664055,48.65235957523578,0.7055511078814911,0.3982609471938371
case128,800.0,1.1,50.0,0.7,0.5,782.7795890766095,1.1041063039350776,48.19947764081174,0.7061929001817332,0.49698290543708235
case129,800.0,1.1,50.0,0.7,0.6,781.5979671637334,1.1043064821370427,48.080959195670616,0.7065021298972741,0.5959766457061345
case130,800.0,1.1,50.0,0.7,0.7,780.6685029622219,1.104026519346148,48.02075909541807,0.7066656696631427,0.6953658606425788
case131,800.0,1.1,50.0,0.7,0.8,779.2373904145268,1.1037384232829284,47.896780606971554,0.7065617865921949,0.7955060989794913
case132,800.0,1.1,50.0,0.7,0.9,777.8578737617773,1.103475840047967,47.797737526252355,0.7061948445324426,0.896737542274721
case133,800.0,1.1,50.0,0.8,-0.9,798.0500327334095,1.1012234800942562,49.75460974812469,0.8115376801753902,-0.9060140578595355
case134,800.0,1.1,50.0,0.8,-0.8,796.1870313115388,1.1026296156342144,49.515723312337485,0.6309249993157725,-0.6253845458180294
case135,800.0,1.1,50.0,0.8,-0.7,794.5621701369992,1.102869122083156,49.36515172678468,0.7946845076297886,-0.6887711529244797
case136,800.0,1.1,50.0,0.8,-0.6,793.0306971587518,1.1026482658116346,49.25014464091317,0.7991658396621849,-0.5932442112089236
